                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.7344,                 1.2371,                 1.8578,                0.79084,                0.69942,                0.77262,                0.39888,                  1.691,                 1.0949,                 1.8078,               0.008317,               0.008317,               0.008317
                     36,                 1.7312,                 1.2417,                 1.8559,                0.77125,                0.72399,                0.77906,                0.40523,                 1.6796,                 1.0766,                   1.78,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.7069,                 1.1978,                 1.8387,                0.78566,                0.69391,                0.78777,                0.38629,                 1.7049,                 1.1102,                  1.804,               0.008218,               0.008218,               0.008218
                     38,                 1.7049,                 1.2049,                  1.844,                0.76513,                0.71084,                0.77023,                0.39886,                 1.6723,                  1.101,                 1.8076,              0.0081685,              0.0081685,              0.0081685
                     39,                  1.695,                 1.2004,                  1.843,                 0.7739,                0.70231,                0.77269,                0.39048,                 1.7204,                  1.098,                 1.8319,               0.008119,               0.008119,               0.008119
                     40,                 1.7133,                 1.1979,                 1.8343,                0.79946,                 0.7052,                0.78123,                 0.4046,                 1.6479,                 1.0939,                 1.7703,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.7217,                 1.2021,                 1.8386,                0.77637,                0.69364,                0.75793,                0.38908,                 1.6708,                 1.1184,                 1.7855,                0.00802,                0.00802,                0.00802
                     42,                 1.7111,                 1.2164,                  1.831,                0.75775,                0.71243,                0.77184,                0.39596,                 1.6728,                  1.078,                 1.7753,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.6847,                 1.1844,                 1.8115,                0.76246,                0.72399,                0.77749,                0.40058,                 1.6578,                 1.0832,                 1.7775,               0.007921,               0.007921,               0.007921
                     44,                 1.6989,                 1.1857,                 1.8129,                0.72609,                0.73699,                0.77884,                0.39622,                 1.6983,                 1.0854,                 1.7782,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.6895,                 1.1989,                 1.8155,                0.78241,                0.70665,                0.77865,                0.41063,                 1.6551,                 1.0302,                 1.7682,               0.007822,               0.007822,               0.007822
                     46,                 1.7116,                  1.181,                 1.8224,                0.77944,                0.69942,                0.76514,                0.39529,                 1.6978,                 1.0645,                 1.8043,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.6864,                 1.1829,                 1.8191,                0.76948,                 0.7139,                0.77399,                0.40629,                  1.651,                 1.0835,                 1.7659,               0.007723,               0.007723,               0.007723
                     48,                 1.7058,                 1.1915,                 1.8223,                 0.7696,                0.71243,                0.78156,                0.41158,                 1.6423,                 1.0652,                 1.7458,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.6644,                 1.1818,                 1.7958,                0.79181,                0.69653,                0.78415,                0.40033,                 1.6857,                 1.0676,                 1.7665,               0.007624,               0.007624,               0.007624
                     50,                 1.6682,                 1.1905,                 1.7974,                0.75953,                0.72572,                0.77081,                0.39678,                 1.6841,                 1.0931,                 1.7783,              0.0075745,              0.0075745,              0.0075745
