                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0855,                 3.3427,                 4.1382,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.070028,              0.0033302,              0.0033302
                      2,                 2.7018,                 2.3885,                 3.2119,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.039369,              0.0060038,              0.0060038
                      3,                 2.3819,                 2.0088,                 2.7045,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0080491,              0.0080175,              0.0080175
                      4,                 2.1034,                 1.6983,                 2.4091,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00703,                0.00703,                0.00703
                      5,                 1.9442,                 1.4932,                 2.2284,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00604,                0.00604,                0.00604
                      6,                  1.893,                 1.4173,                 2.1614,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00505,                0.00505,                0.00505
                      7,                 1.8454,                 1.3413,                 2.0952,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00406,                0.00406,                0.00406
                      8,                 1.7982,                 1.2996,                 2.0518,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00307,                0.00307,                0.00307
                      9,                 1.7525,                 1.2829,                 2.0055,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00208,                0.00208,                0.00208
                     10,                 1.7255,                 1.2515,                  1.974,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00109,                0.00109,                0.00109
