                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0862,                 3.4022,                 4.1559,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.070028,              0.0033302,              0.0033302
                      2,                 2.6946,                 2.4345,                 3.2712,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.039996,              0.0066305,              0.0066305
                      3,                 2.3345,                 2.0337,                 2.6684,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0099295,              0.0098979,              0.0098979
                      4,                  2.062,                 1.7743,                 2.3624,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.9556,                 1.5467,                   2.21,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.009802,               0.009802,               0.009802
                      6,                 1.9126,                 1.4387,                 2.1648,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.8679,                 1.3698,                 2.0987,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.009703,               0.009703,               0.009703
                      8,                 1.8573,                 1.3577,                 2.0545,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.8208,                 1.3333,                 2.0161,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.009604,               0.009604,               0.009604
                     10,                 1.8091,                 1.3129,                 2.0087,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.8069,                 1.3094,                  1.993,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.009505,               0.009505,               0.009505
                     12,                 1.7856,                 1.3063,                 1.9757,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.7491,                  1.259,                 1.9371,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.009406,               0.009406,               0.009406
                     14,                 1.7538,                 1.2449,                 1.9338,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.7267,                 1.2507,                 1.9143,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.009307,               0.009307,               0.009307
                     16,                 1.7142,                 1.2157,                 1.8981,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.6979,                 1.2338,                 1.8787,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.009208,               0.009208,               0.009208
                     18,                  1.704,                 1.2142,                 1.8761,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.6818,                  1.179,                 1.8607,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.009109,               0.009109,               0.009109
                     20,                 1.6774,                 1.1978,                  1.849,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.6716,                 1.1782,                 1.8346,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00901,                0.00901,                0.00901
                     22,                 1.6641,                 1.1753,                 1.8312,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.6441,                 1.1578,                 1.8235,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.008911,               0.008911,               0.008911
                     24,                 1.6309,                 1.1543,                 1.8063,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.6211,                 1.1601,                  1.796,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.008812,               0.008812,               0.008812
                     26,                 1.6219,                 1.1518,                 1.7999,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.6054,                  1.147,                 1.7801,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.008713,               0.008713,               0.008713
