                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.075,                 3.4222,                 4.1424,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.070028,              0.0033302,              0.0033302
                      2,                 2.7325,                  2.479,                 3.2425,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.039996,              0.0066305,              0.0066305
                      3,                 2.3604,                 2.0948,                  2.672,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0099295,              0.0098979,              0.0098979
                      4,                 2.0945,                  1.741,                 2.3869,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.9686,                 1.5255,                 2.2357,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.009802,               0.009802,               0.009802
                      6,                 1.9121,                 1.4266,                 2.1841,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0097525,              0.0097525,              0.0097525
                      7,                   1.88,                 1.3805,                 2.1414,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.009703,               0.009703,               0.009703
