                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     41,                 1.4689,                 1.0264,                 1.8173,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00802,                0.00802,                0.00802
                     42,                 1.4572,                   1.02,                  1.798,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.4386,                 1.0111,                 1.7847,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.007921,               0.007921,               0.007921
                     44,                 1.4262,                 1.0091,                 1.7816,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.4182,                  1.012,                 1.7622,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.007822,               0.007822,               0.007822
                     46,                 1.3998,                0.98727,                  1.742,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.3958,                0.97902,                 1.7468,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.007723,               0.007723,               0.007723
                     48,                 1.3911,                0.97547,                  1.737,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.3741,                0.96173,                 1.7274,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.007624,               0.007624,               0.007624
                     50,                  1.355,                0.96957,                 1.7168,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.3394,                0.93741,                 1.7003,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.007525,               0.007525,               0.007525
                     52,                 1.3269,                0.92881,                 1.6842,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0074755,              0.0074755,              0.0074755
                     53,                  1.328,                0.93786,                 1.6865,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.007426,               0.007426,               0.007426
