                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0912,                 3.4592,                 4.1577,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.070028,              0.0033302,              0.0033302
                      2,                 2.7807,                 2.4658,                 3.2764,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.039996,              0.0066305,              0.0066305
                      3,                 2.4004,                 2.0914,                 2.7448,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0099295,              0.0098979,              0.0098979
                      4,                 2.0902,                 1.7265,                 2.4206,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.9669,                 1.5266,                 2.2663,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.009802,               0.009802,               0.009802
